10000	31	125	248	10000	223	294	94	68	31	10000	12	26	10000	10000	32	35	10000	20	16	14	10000	13	10000	0	10000	61	28	27	10000	10000	44	43	46	60	10000	24	174	172	190
24	10000	165	292	347	253	10000	134	41	10000	37	37	43	10000	47	34	22	13	39	10000	56	49	54	88	10000	0	10000	69	62	10000	10000	66	23	88	10000	30	67	161	141	183
10000	92	110	246	10000	179	10000	10000	10000	81	59	10000	36	10000	62	88	52	84	10000	10000	55	74	10000	45	61	10000	0	52	39	10000	72	10000	10000	59	77	46	72	120	10000	10000
10000	10000	97	222	288	10000	268	10000	10000	59	10000	10000	34	49	26	10000	54	83	47	31	14	34	28	24	28	69	52	0	10000	22	64	35	71	18	84	44	10000	172	183	10000
42	58	10000	232	288	10000	266	10000	71	57	10000	40	10000	10000	10000	10000	44	75	10000	22	17	38	10000	26	27	62	39	10000	0	23	57	10000	69	28	74	33	33	158	169	171
25	10000	120	243	310	218	10000	88	72	36	10000	17	10000	10000	10000	37	10000	62	25	17	10000	10000	12	46	10000	10000	10000	22	23	0	44	42	10000	40	65	30	20	174	174	10000
19	47	10000	287	10000	10000	10000	129	10000	19	10000	10000	39	17	10000	10000	19	18	35	10000	51	44	10000	10000	10000	10000	72	64	57	44	0	62	10000	10000	23	27	62	10000	144	10000
52	10000	106	240	10000	187	254	77	61	68	10000	55	10000	10000	46	10000	44	77	10000	31	37	57	54	33	44	66	10000	35	10000	42	62	0	10000	10000	10000	10000	54	137	152	10000
27	34	169	289	358	264	333	137	64	12	39	32	10000	35	46	16	41	10000	28	48	57	42	10000	94	43	23	10000	71	69	10000	10000	10000	0	89	40	10000	62	185	10000	207
64	67	79	204	273	10000	256	48	10000	77	51	57	50	67	10000	76	72	101	63	49	32	49	43	17	46	88	59	18	28	40	10000	10000	89	0	102	61	10000	179	10000	10000
10000	10000	176	306	352	257	322	146	28	42	54	10000	10000	34	10000	53	30	12	59	10000	72	68	10000	100	60	10000	77	84	74	65	23	10000	40	102	0	40	85	148	122	172
10000	10000	136	266	316	222	289	105	41	10000	10000	31	12	10000	10000	44	10000	10000	39	13	34	40	10000	59	10000	30	46	44	33	30	27	10000	10000	61	40	0	10000	10000	144	10000
43	10000	10000	227	306	10000	10000	79	10000	10000	31	31	10000	51	10000	47	59	80	10000	37	18	20	13	45	24	67	72	10000	33	20	62	54	62	10000	85	10000	0	191	194	10000
168	202	205	338	294	210	10000	190	120	180	169	10000	147	10000	10000	191	147	160	188	157	172	187	187	10000	174	161	120	172	158	174	10000	137	185	179	148	10000	191	0	10000	10000
158	191	10000	384	367	278	322	223	10000	10000	10000	10000	150	145	176	175	137	134	178	157	177	183	10000	185	172	141	10000	183	169	174	144	152	10000	10000	122	144	194	10000	0	110
10000	220	201	10000	10000	189	219	10000	144	10000	186	10000	163	10000	193	211	167	10000	10000	10000	186	10000	202	171	190	183	10000	10000	171	10000	10000	10000	207	10000	172	10000	10000	10000	110	0
